ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000061918	GUCY1B3	4	156680144	156728743	1	protein_coding	2983	GUCY1B3	0.000916633852893547	-0.241661798	15	10.52	3.13e-09	rs11724647	18
ENSG00000112902	SEMA5A	5	9035138	9546187	-1	protein_coding	9037	SEMA5A	0.000979594322677327	0.27855657	35	14.01	6.13e-10	rs17263917	19
ENSG00000112137	PHACTR1	6	12717893	13288645	1	protein_coding	221692	PHACTR1	0.664117315162539	NA	343	21.4	3.46e-41	rs4714946;rs4714930;rs9381401;rs9349379;rs6925904;rs6922782;rs13209002;rs9473086;rs72820839;rs62389460	20
ENSG00000112210	RAB23	6	57053607	57087078	-1	protein_coding	51715	RAB23	0.038517374000133	-1.277757208	6	12.23	1.93e-08	rs369475	21
ENSG00000118526	TCF21	6	134210276	134216691	1	protein_coding	6943	TCF21	0.80536994429277	0.400264301	9	6.946	1.65e-16	rs2209042;rs1029212;rs12190287	22
ENSG00000111961	SASH1	6	148593440	148873186	1	protein_coding	23328	SASH1	0.00325444461467519	-1.839894093	2	15.85	2.06e-08	rs2294780	23
ENSG00000146453	PNLDC1	6	160221298	160241736	1	protein_coding	154197	PNLDC1	2.5447781123909e-08	0.054243557	2	6.927	1.65e-14	rs9457761	25
ENSG00000197081	IGF2R	6	160390131	160534539	1	protein_coding	3482	IGF2R	0.999999196216303	-0.312060143	36	8.478	1.64e-24	rs3777402;rs9457761;rs688359;rs3822842	25
ENSG00000175003	SLC22A1	6	160542821	160579750	1	protein_coding	6580	SLC22A1	1.23977716739769e-13	-0.158083671	13	24	2.11e-07	rs3777402;rs9457853	25
ENSG00000112499	SLC22A2	6	160592093	160698670	-1	protein_coding	6582	SLC22A2	1.4191712191388e-09	0.905296138	95	14.96	8.33e-38	rs9457853;rs182443492;rs12215128;rs17588242;rs143665477;rs624249;rs11755965;rs425983;rs140570886;rs415317;rs386453	25
ENSG00000146477	SLC22A3	6	160769300	160876014	1	protein_coding	6581	SLC22A3	3.31638540911901e-05	0.310629054	141	12.64	5.02e-45	rs140570886;rs3777402;rs386453;rs425983;rs415317;rs146184004;rs3106166;rs11755965;rs3105751;rs6919346;rs182443492;rs2076828;rs4708867;rs1810126;rs117446263;rs143665477	25
ENSG00000198670	LPA	6	160952515	161087407	-1	protein_coding	4018	LPA	2.4422277924849e-32	0.042144435	148	17.26	1.47e-94	rs3124784;rs6919346;rs140570886;rs11755965;rs10526739;rs55730499;rs6938647;rs62441715;rs9457991;rs12212146;rs143943337;rs76735376;rs75991907;rs56393506;rs111358967	25
ENSG00000122194	PLG	6	161123270	161174347	1	protein_coding	5340	PLG	0.00243511733948206	0.479258267	90	11.99	4.26e-65	rs111358967;rs9457991;rs55730499;rs12212146;rs4252090;rs783147;rs783184;rs79261638;rs783175;rs79570361;rs182443492	25
ENSG00000085511	MAP3K4	6	161412759	161538417	1	protein_coding	4216	MAP3K4	0.999991910638856	NA	17	7.427	8.63e-25	rs9364582;rs767581139;rs143843429;rs117379529;rs682216	25
ENSG00000026652	AGPAT4	6	161551011	161695093	-1	protein_coding	56895	AGPAT4	0.674499951839515	0.748253089	28	11.15	9.2e-13	rs682216;rs117379529;rs17628203;rs143843429;rs73019323	25
ENSG00000048052	HDAC9	7	18126572	19042039	1	protein_coding	9734	HDAC9	0.998375125074442	-0.115886844	10	18.24	1.38e-14	rs2107595;rs10227612	26
ENSG00000122691	TWIST1	7	19060614	19157295	-1	protein_coding	7291	TWIST1	0.182033891254288	NA	1	1.126	NA	rs2107595	26
ENSG00000164532	TBX20	7	35242042	35293758	-1	protein_coding	57057	TBX20	0.337045818385032	NA	120	13.09	1.4e-08	rs7811472	27
ENSG00000164867	NOS3	7	150688083	150711676	1	protein_coding	4846	NOS3	2.21161070571318e-05	0.132489185	1	12.89	4.19e-11	rs3918226	28
ENSG00000175445	LPL	8	19759228	19824769	1	protein_coding	4023	LPL	3.33727737763241e-06	1.047176611	47	50	2.01e-08	rs269;rs15285;rs59147390	29
ENSG00000137080	IFNA21	9	21165636	21166659	-1	protein_coding	3452	IFNA21	8.62552167583039e-08	0.718599614	1	0.279	NA	rs2811708	31
ENSG00000147885	IFNA16	9	21216372	21217310	-1	protein_coding	3449	IFNA16	0.00656986926455156	0.554934685	2	4.717	NA	rs2811708	31
ENSG00000234829	IFNA17	9	21227242	21228221	-1	protein_coding	3451	IFNA17	0.00702582209296288	1.162040786	2	4.717	NA	rs2811708	31
ENSG00000099810	MTAP	9	21802542	21931646	1	protein_coding	4507	MTAP	0.000179316285483304	1.589224827	40	23	3.58e-13	rs11523031;rs10811588;rs62556523;rs2811708	31
ENSG00000264545	RP11-145E5.5	9	21802635	22032985	1	protein_coding	NA	NA	NA	NA	142	23	5.24e-68	rs11523031;rs10811588;rs62556523;rs2811708;rs569076511;rs3731257;rs117197971;rs148331870;rs145542470;rs780025687;rs13288666;rs3731239;rs7035484;rs4451405;rs61271866;rs35720900;rs7028268;rs62555370;rs1547705;rs7857345	31
ENSG00000224854	C9orf53	9	21967137	21967738	1	protein_coding	NA	C9orf53	NA	NA	11	9.218	3.48e-33	rs2811708;rs3731257;rs148331870;rs780025687;rs13288666;rs3731239	31
ENSG00000147889	CDKN2A	9	21967751	21995300	-1	protein_coding	1029	CDKN2A	0.357648776382819	-0.259234065	33	9.218	5.24e-68	rs2811708;rs3731257;rs148331870;rs780025687;rs13288666;rs3731239;rs7035484;rs4451405;rs61271866;rs35720900;rs7028268;rs62555370	31
ENSG00000147883	CDKN2B	9	22002902	22009362	-1	protein_coding	1030	CDKN2B	0.281057556695991	-1.806188464	32	17.08	5.24e-68	rs7035484;rs4451405;rs61271866;rs35720900;rs7028268;rs62555370;rs1547705	31
ENSG00000176399	DMRTA1	9	22446840	22455739	1	protein_coding	63951	DMRTA1	8.38884762019811e-05	0.18497152	2	7.535	NA	rs2811708	31
ENSG00000214645	AL162389.1	9	110539471	110540419	-1	protein_coding	NA	NA	NA	NA	19	8.457	1.18e-11	rs10759257;rs1411357;rs2177433	32
ENSG00000165757	KIAA1462	10	30301729	30404423	-1	protein_coding	57608	KIAA1462	0.104293752088672	1.080080185	8	7.96	3.36e-12	rs9337951	33
ENSG00000107562	CXCL12	10	44793038	44881941	-1	protein_coding	6387	CXCL12	0.118587913081985	NA	5	15.76	1.44e-08	rs2862116	34
ENSG00000107798	LIPA	10	90973326	91174314	-1	protein_coding	3988	LIPA	0.0112778036759298	-0.139630972	22	19.54	4.6e-12	rs1412445;rs2250781	35
ENSG00000123415	SMUG1	12	54558529	54582778	-1	protein_coding	23583	SMUG1	0.00123008785180229	-0.018937342	5	9.181	5.02e-06	rs75160195	37
ENSG00000184752	NDUFA12	12	95290831	95397546	-1	protein_coding	55967	NDUFA12	0.00201599261273099	0.237785229	23	14.67	6.94e-08	rs4077235	38
ENSG00000120798	NR2C1	12	95414005	95467479	-1	protein_coding	7181	NR2C1	0.98233319709664	-1.029729992	12	8.214	3.1e-08	rs4077235	38
ENSG00000180263	FGD6	12	95470525	95611258	-1	protein_coding	55785	FGD6	0.995227689206774	-1.112671351	60	12.57	1.34e-09	rs4077235;rs9804833	38
ENSG00000028203	VEZT	12	95611522	95696566	1	protein_coding	55591	VEZT	0.0259368505876322	0.305036624	37	12.43	2.44e-05	rs4077235;rs9804833	38
ENSG00000111252	SH2B3	12	111843752	111889427	1	protein_coding	10019	SH2B3	0.00592218956138136	-0.243853728	36	21.4	2.26e-08	rs7299849	39
ENSG00000204842	ATXN2	12	111890018	112037480	-1	protein_coding	6311	ATXN2	0.999862271558356	-0.359942109	100	18.59	3.26e-08	rs7299849	39
ENSG00000089234	BRAP	12	112079950	112123790	-1	protein_coding	8315	BRAP	0.0157033106581831	-0.900035073	23	11.71	2.52e-05	rs7299849	39
ENSG00000111271	ACAD10	12	112123857	112194903	1	protein_coding	80724	ACAD10	4.01457480802773e-20	-0.311041181	48	11.71	2.13e-05	rs7299849	39
ENSG00000257767	RP11-162P23.2	12	112191694	112229222	1	protein_coding	NA	NA	NA	NA	27	14.56	1.12e-05	rs7299849	39
ENSG00000111275	ALDH2	12	112204691	112247782	1	protein_coding	217	ALDH2	1.73245219738394e-06	NA	26	14.56	1.12e-05	rs7299849	39
ENSG00000089022	MAPKAPK5	12	112279782	112334343	1	protein_coding	8550	MAPKAPK5	0.0234226025504899	NA	122	15.93	3.73e-06	rs7299849	39
ENSG00000198270	TMEM116	12	112369086	112450970	-1	protein_coding	89894	TMEM116	1.14999091475817e-09	-0.6208399	73	17.1	4.18e-06	rs7299849	39
ENSG00000111300	NAA25	12	112464500	112546826	-1	protein_coding	80018	NAA25	0.999989964284881	-1.156261746	5	9.634	NA	rs7299849	39
ENSG00000135148	TRAFD1	12	112563305	112591407	1	protein_coding	10906	TRAFD1	1.82691525643369e-05	-1.376326544	2	4.363	NA	rs7299849	39
ENSG00000272214	AC079602.1	12	121407641	121410095	-1	protein_coding	NA	NA	NA	NA	21	23.4	3.51e-12	rs2464190;rs2649999;rs2258287	40
ENSG00000135100	HNF1A	12	121416346	121440315	1	protein_coding	6927	HNF1A	0.969659467322862	-0.628781489	50	23.4	3.51e-12	rs2464190;rs2649999;rs2258287	40
ENSG00000157895	C12orf43	12	121440225	121454305	-1	protein_coding	64897	C12orf43	2.5600625299979e-07	0.963740862	31	22.3	1.28e-10	rs2258287;rs2464190	40
ENSG00000135114	OASL	12	121458095	121477045	-1	protein_coding	8638	OASL	5.07293522290638e-12	0.332934746	12	8.319	1.28e-10	rs2258287;rs2464190	40
ENSG00000073060	SCARB1	12	125261402	125367214	-1	protein_coding	949	SCARB1	0.0772244034409674	NA	11	5.524	6.52e-09	rs11057841	41
ENSG00000187498	COL4A1	13	110801318	110959496	-1	protein_coding	1282	COL4A1	0.99999998123739	-0.456418322	85	7.919	8.18e-12	rs13260;rs11617955;rs1000989;rs693831;rs9521672;rs11619113	42
ENSG00000134871	COL4A2	13	110958159	111165374	1	protein_coding	1284	COL4A2	2.10928692329967e-06	NA	2	7.611	4.83e-13	rs9515203;rs7333991	42
ENSG00000182218	HHIPL1	14	100111447	100146906	1	protein_coding	84439	HHIPL1	0.00214437023105914	-1.429192837	26	10.02	3.94e-09	rs2400762;rs7342498;rs8003602	43
ENSG00000036530	CYP46A1	14	100150641	100193638	1	protein_coding	10858	CYP46A1	0.754693330684111	NA	6	6.022	6.65e-09	rs2400762;rs8003602	43
ENSG00000166949	SMAD3	15	67356101	67487533	1	protein_coding	4088	SMAD3	0.868268313208796	-0.091610054	29	22.6	2.9e-14	rs56062135;rs10152544;rs7179840	44
ENSG00000259202	RP11-342M21.2	15	67435072	67439277	-1	protein_coding	NA	NA	NA	NA	10	22.6	2.99e-14	rs56062135;rs10152544	44
ENSG00000117971	CHRNB4	15	78916461	79020096	-1	protein_coding	1143	CHRNB4	0.0186266094522454	-0.17732684	159	13.36	2.49e-10	rs7161774;rs2869571;rs12438758	45
ENSG00000136378	ADAMTS7	15	79051545	79103773	-1	protein_coding	11173	ADAMTS7	2.98948787387487e-07	NA	191	17.55	3.92e-14	rs2869571;rs7161774;rs62012628;rs12438758;rs12900168;rs2277549;rs7164479;rs7403155	45
ENSG00000185787	MORF4L1	15	79102829	79190475	1	protein_coding	10933	MORF4L1	0.802941002940311	0.191369587	182	15.2	1.61e-14	rs7161774;rs7164479;rs7403155;rs11632963	45
ENSG00000140564	FURIN	15	91411822	91426688	1	protein_coding	5045	FURIN	0.999933300929352	-0.156379719	46	17.36	4.45e-19	rs2521501;rs3759929;rs200266974;rs7183988;rs2521500	46
ENSG00000182511	FES	15	91426925	91439006	1	protein_coding	2242	FES	2.77390387287312e-05	NA	42	17.36	4.45e-19	rs2521501;rs7183988;rs2521500	46
ENSG00000196547	MAN2A2	15	91445448	91465814	1	protein_coding	4122	MAN2A2	3.60787631910875e-09	1.153208226	12	9.479	2.24e-18	rs2521500;rs2521501	46
ENSG00000050820	BCAR1	16	75262928	75301951	-1	protein_coding	9564	BCAR1	0.992956578294104	NA	11	9.829	4.8e-07	rs62059844	47
ENSG00000153774	CFDP1	16	75327596	75467383	-1	protein_coding	10428	CFDP1	0.0849395818350133	-0.003945376	293	16.27	7.25e-10	rs62059844	47
ENSG00000261717	RP11-77K12.1	16	75446582	75498604	-1	protein_coding	NA	NA	NA	NA	170	14.15	1.36e-09	rs62059844	47
ENSG00000166822	TMEM170A	16	75476952	75499395	-1	protein_coding	124491	TMEM170A	0.000303172215493796	0.822657132	80	14.15	2.41e-09	rs62059844	47
ENSG00000183196	CHST6	16	75510949	75529282	-1	protein_coding	4166	CHST6	0.000606606828678051	-0.818680984	17	9.024	2.55e-06	rs62059844	47
ENSG00000140945	CDH13	16	82660408	83830204	1	protein_coding	1012	CDH13	NA	-0.348066372	21	11.18	1.34e-08	rs7500448	48
ENSG00000070366	SMG6	17	1963133	2207065	-1	protein_coding	23293	SMG6	0.999935136420641	-0.496661291	35	23.1	7.15e-11	rs1231207	49
ENSG00000167720	SRR	17	2206677	2228554	1	protein_coding	63826	SRR	0.179017047265105	NA	3	23.1	4.38e-09	rs1231207	49
ENSG00000198740	ZNF652	17	47366568	47439835	-1	protein_coding	22834	ZNF652	0.970739626335692	0.214054678	56	19.07	5.36e-10	rs5820757	50
ENSG00000262039	RP11-81K2.1	17	47448102	47554350	1	protein_coding	NA	NA	NA	NA	43	19.07	6.86e-10	rs5820757;rs2119934	50
ENSG00000167085	PHB	17	47481414	47492246	-1	protein_coding	5245	PHB	0.821632149771825	-0.186504748	20	17.46	6.86e-10	rs2119934	50
ENSG00000167772	ANGPTL4	19	8428173	8439257	1	protein_coding	51129	ANGPTL4	9.46497214192654e-09	NA	1	33	1.05e-10	rs116843064	51
ENSG00000127616	SMARCA4	19	11071598	11176071	1	protein_coding	6597	SMARCA4	0.999999997611829	NA	18	6.021	2.5e-09	rs12052200;rs2421201	52
ENSG00000130164	LDLR	19	11200038	11244492	1	protein_coding	3949	LDLR	2.59266073718312e-16	0.415051182	45	13.85	1.62e-18	rs55997232	52
ENSG00000130479	MAP1S	19	17830051	17845325	1	protein_coding	55201	MAP1S	0.637852410524494	-0.133884992	25	16.03	2.82e-09	rs7247215	53
ENSG00000130475	FCHO1	19	17858527	17899377	1	protein_coding	23149	FCHO1	0.998992547558912	NA	21	16.89	1.84e-08	rs7247215	53
ENSG00000105656	ELL	19	18553473	18632937	-1	protein_coding	8178	ELL	0.940941238331597	-0.635599911	2	12.64	4.93e-09	rs11670056	54
ENSG00000167601	AXL	19	41725108	41767671	1	protein_coding	558	AXL	0.76630115087899	-0.010070308	29	12.49	1.04e-07	rs12980298	55
ENSG00000105323	HNRNPUL1	19	41768401	41813503	1	protein_coding	11100	HNRNPUL1	0.99984751233348	-0.642890526	63	13.4	1.86e-09	rs12980298;rs73045269;rs8109627	55
ENSG00000105329	TGFB1	19	41807492	41859816	-1	protein_coding	7040	TGFB1	0.354132528348928	NA	101	21.9	4.96e-11	rs12980298;rs8109627;rs73045269;rs10406816;rs11666933;rs4803459	55
ENSG00000142039	CCDC97	19	41816094	41830788	1	protein_coding	90324	CCDC97	2.83817318207507e-08	-0.171306086	48	19.91	1.86e-09	rs12980298;rs8109627;rs73045269	55
ENSG00000255730	CTC-435M10.3	19	41856758	41930906	1	protein_coding	NA	NA	NA	NA	59	21.9	4.96e-11	rs10406816;rs11666933;rs4803459	55
ENSG00000142046	TMEM91	19	41856816	41889988	1	protein_coding	641649	TMEM91	0.42210072753771	-0.930102182	59	21.9	4.96e-11	rs10406816;rs11666933;rs4803459	55
ENSG00000123810	B9D2	19	41860326	41870078	-1	protein_coding	80776	B9D2	0.000844599441510728	-0.551353868	47	21.9	4.96e-11	rs10406816;rs11666933;rs4803459	55
ENSG00000248098	BCKDHA	19	41884215	41930910	1	protein_coding	593	BCKDHA	7.66463791783609e-08	1.314485756	15	7.951	3.78e-08	rs4803459;rs11666933	55
ENSG00000077348	EXOSC5	19	41892279	41903384	-1	protein_coding	56915	EXOSC5	0.00119255746638531	0.493718112	1	7.846	4.56e-07	rs4803459;rs11666933	55
ENSG00000187244	BCAM	19	45312328	45324673	1	protein_coding	4059	BCAM	0.0368511835228543	NA	1	9.825	1.3e-09	rs41290120	56
ENSG00000130202	PVRL2	19	45349432	45392485	1	protein_coding	5819	PVRL2	0.531937435077773	-0.314456223	19	16.74	4.6e-17	rs61679753;rs41290120;rs34404554;rs429358	56
ENSG00000130204	TOMM40	19	45393826	45406946	1	protein_coding	10452	TOMM40	0.963682323765023	NA	26	25.1	6.69e-30	rs34404554;rs61679753;rs429358;rs111789331;rs7412	56
ENSG00000130203	APOE	19	45409011	45412650	1	protein_coding	348	APOE	0.0345335830833016	-0.237445173	13	25.1	6.69e-30	rs61679753;rs429358;rs111789331;rs34404554;rs7412	56
ENSG00000130208	APOC1	19	45417504	45422606	1	protein_coding	341	APOC1	0.0507382728810443	-0.105569458	19	25.1	6.69e-30	rs429358;rs111789331;rs34404554;rs7412	56
