# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = BIOCARTA_PLATELETAPP_PATHWAY (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 6.49695e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000160789     1  156052364  156109880     64      20  269076       1.5257     0.030324   -1.9984e-15       1.5257
_SET2_   ENSG00000188783     1  203444956  203460480     51      10  276995       0.4895      0.19673   -1.9429e-15       0.4895
_SET2_   ENSG00000196660     1  219858769  220131989    752      49  276322      -1.7699      0.90905   -1.9984e-15      -1.7699
_SET2_   ENSG00000117020     1  243651535  244014381    407      28  277542       0.8428      0.10446   -1.9984e-15       0.8428
_SET2_   ENSG00000115738     2    8818975    8824583     11       5  272772      -1.6709      0.92278   -1.9984e-15      -1.6709
_SET2_   ENSG00000163029     2   17845079   17981509    227      28  279360       0.6399      0.14462   -1.9984e-15       0.6399
_SET2_   ENSG00000138035     2   55861400   55921045    160      22  278124      -1.2659      0.80443   -1.9984e-15      -1.2659
_SET2_   ENSG00000119147     2  106679702  106694615     56      16  281067     -0.16025      0.40304   -1.9706e-15     -0.16025
_SET2_   ENSG00000153246     2  160788519  160919121    322      26  279987      0.18513      0.26964   -1.9706e-15      0.18513
_SET2_   ENSG00000114904     3   52744800   52804965    116       8  278456       1.7446     0.016244   -1.9984e-15       1.7446
_SET2_   ENSG00000163932     3   53190025   53226733     66      11  281847      0.47617      0.19245   -1.9429e-15      0.47617
_SET2_   ENSG00000113916     3  187439165  187463515     60      18  280238     -0.48632      0.54464   -1.9429e-15     -0.48632
_SET2_   ENSG00000073282     3  189349205  189615068   1088     119  281999      0.68616      0.14689   -1.9984e-15      0.68616
_SET2_   ENSG00000198836     3  193310933  193415612    295      13  280244      -1.5008      0.85644   -1.9984e-15      -1.5008
_SET2_   ENSG00000109339     4   86936276   87515284   1392      59  278955      -0.6719      0.58371   -1.9984e-15      -0.6719
_SET2_   ENSG00000168556     4  184426147  184432249     13       6  283023      0.60806      0.17556   -1.9984e-15      0.60806
_SET2_   ENSG00000164362     5    1253262    1295184    105      30  263605       2.3708    0.0029303   -1.7764e-15       2.3708
_SET2_   ENSG00000145632     5   57749809   57756087     24       5  291770      -1.2266       0.7982   -1.9984e-15      -1.2266
_SET2_   ENSG00000181163     5  170814120  170838141     78       7  276661      0.59593       0.1678   -1.9984e-15      0.59593
_SET2_   ENSG00000050748     5  179660143  179719099    173      22  283482      0.83195     0.099471   -1.9984e-15      0.83195
_SET2_   ENSG00000124802     6    8073593    8102811     94      13  280264    -0.037779      0.35565   -1.9568e-15    -0.037779
_SET2_   ENSG00000189298     6   28317691   28336947     55      10  283033      0.66708      0.14797   -1.9984e-15      0.66708
_SET2_   ENSG00000204632     6   29794744   29798902     71       6  275274     -0.17531      0.42717   -1.9706e-15     -0.17531
_SET2_   ENSG00000137309     6   34204650   34214008     16       4  268851        2.986   0.00066682   -1.7764e-15        2.986
_SET2_   ENSG00000112062     6   35995488   36079013    154      13  280863      0.50717      0.18687   -1.9984e-15      0.50717
_SET2_   ENSG00000124762     6   36644305   36655116     35       9  282212       2.4438    0.0024252   -1.7764e-15       2.4438
_SET2_   ENSG00000112658     6   43139037   43149243      7       3  282018      0.73025      0.16575   -1.9984e-15      0.73025
_SET2_   ENSG00000164430     6   74123238   74161999     78      24  275789      0.28472      0.25014   -1.9429e-15      0.28472
_SET2_   ENSG00000197442     6  136878185  137113656    401      39  275886    -0.081074      0.35917   -1.9568e-15    -0.081074
_SET2_   ENSG00000164442     6  139693393  139695757      8       4  279701      -0.3064      0.51958   -1.9429e-15      -0.3064
_SET2_   ENSG00000112029     6  153291664  153304714     44       7  284384     -0.33761      0.48893   -1.9429e-15     -0.33761
_SET2_   ENSG00000122691     7   19060614   19157295    150      26  274270      0.53398      0.18603   -1.9984e-15      0.53398
_SET2_   ENSG00000105810     7   92234235   92465908    207      32  277244      -1.6357       0.8912   -1.9984e-15      -1.6357
_SET2_   ENSG00000198839     7  111846643  111983151    197      23  279939      -1.1691      0.78068   -1.9984e-15      -1.1691
_SET2_   ENSG00000002745     7  120965421  120981158     28      10  273776       2.4076    0.0031374   -1.7764e-15       2.4076
_SET2_   ENSG00000165392     8   30891317   31031285    300      22  280155      0.90453     0.089101   -1.9984e-15      0.90453
_SET2_   ENSG00000083168     8   41786997   41909508    194      17  279602      0.90628     0.093498   -1.9984e-15      0.90628
_SET2_   ENSG00000156831     8  126103921  126379362    493      54  277038     -0.96321      0.71716   -1.9984e-15     -0.96321
_SET2_   ENSG00000147889     9   21967751   21995300     43      11  274024       6.9756   1.2102e-13   -1.7764e-15       6.9756
_SET2_   ENSG00000147883     9   22002902   22009362     10       5  266622       7.2685   3.0532e-15   -1.7764e-15       7.2685
_SET2_   ENSG00000198887     9   72873937   72969804    243      18  282319      -2.7359      0.98987   -1.7764e-15      -2.7359
_SET2_   ENSG00000119408     9  127019885  127115586    217      22  280530      0.44149      0.18988   -1.9429e-15      0.44149
_SET2_   ENSG00000097007     9  133589333  133763062    330      40  274520     -0.72312      0.62758   -1.9984e-15     -0.72312
_SET2_   ENSG00000107643    10   49514698   49647403    313      21  279411       1.7543     0.014716   -1.9984e-15       1.7543
_SET2_   ENSG00000096717    10   69644427   69678147     70      13  279383      0.22797      0.27381   -1.9706e-15      0.22797
_SET2_   ENSG00000108175    10   80828792   81076276    741      99  280499      0.25921      0.26223   -1.9429e-15      0.25921
_SET2_   ENSG00000107779    10   88516407   88692595    345      27  278264       1.6732     0.018391   -1.9984e-15       1.6732
_SET2_   ENSG00000171862    10   89622870   89731687    155      32  276810      0.25203      0.26271   -1.9429e-15      0.25203
_SET2_   ENSG00000174775    11     532242     537287     27       5  282008      0.63679      0.16899   -1.9984e-15      0.63679
_SET2_   ENSG00000133794    11   13298199   13408813    240      38  281344       1.8239     0.012169   -1.9984e-15       1.8239
_SET2_   ENSG00000066336    11   47376411   47400127     77       7  272928      0.25993      0.27041   -1.9429e-15      0.25993
_SET2_   ENSG00000172977    11   65479467   65487075     21       5  290701       1.3217     0.043555   -1.9984e-15       1.3217
_SET2_   ENSG00000149311    11  108093211  108239829    223      12  279734      -1.3625      0.82598   -1.9984e-15      -1.3625
_SET2_   ENSG00000188486    11  118964564  118966177      3       1  291804      0.56381      0.19653   -1.9984e-15      0.56381
_SET2_   ENSG00000111276    12   12867992   12875305     15       5  270435     -0.81546      0.69478   -1.9984e-15     -0.81546
_SET2_   ENSG00000123374    12   56360553   56366568      7       4  273247       1.6435     0.029225   -1.9984e-15       1.6435
_SET2_   ENSG00000149948    12   66217911   66360075    184      37  276494       -1.115      0.76807   -1.9984e-15       -1.115
_SET2_   ENSG00000177425    12   79968759   80084877     70      14  272439       2.4409    0.0027709   -1.7764e-15       2.4409
_SET2_   ENSG00000074590    12  106457118  106533811    195      35  281505     -0.68082      0.59354   -1.9984e-15     -0.68082
_SET2_   ENSG00000089022    12  112279782  112334343    105       5  280322       3.9955   7.7493e-06   -1.7764e-15       3.9955
_SET2_   ENSG00000135111    12  115108059  115121969     33      10  275286      0.48535      0.19841   -1.9429e-15      0.48535
_SET2_   ENSG00000139618    13   32889611   32973805    210      22  274751       1.1983     0.053869   -1.9984e-15       1.1983
_SET2_   ENSG00000081181    14   68086515   68118437     57       9  286971       1.2862     0.046699   -1.9984e-15       1.2862
_SET2_   ENSG00000071246    14   77228532   77249354     67      17  281520     -0.52618      0.54559   -1.9984e-15     -0.52618
_SET2_   ENSG00000166710    15   45003675   45011075     14       5  279137     0.014205      0.38424   -1.9585e-15     0.014205
_SET2_   ENSG00000169032    15   66679155   66784650    319      22  279593      0.69351      0.13185   -1.9984e-15      0.69351
_SET2_   ENSG00000140464    15   74287014   74340153    139      13  281382     -0.64754      0.58787   -1.9984e-15     -0.64754
_SET2_   ENSG00000140474    15   75128457   75135687     12       3  289281       1.9865    0.0099322   -1.9984e-15       1.9865
_SET2_   ENSG00000140443    15   99192200   99507759    796      94  278823       1.9803    0.0093585   -1.9984e-15       1.9803
_SET2_   ENSG00000103423    16    4475806    4506776     71      11  277530      -0.4027      0.51337   -1.9429e-15      -0.4027
_SET2_   ENSG00000171490    16   11929056   11945442     23       5  273473      0.63341      0.17212   -1.9984e-15      0.63341
_SET2_   ENSG00000090238    16   30103635   30108236      8       5  275420       1.8317     0.017036   -1.9984e-15       1.8317
_SET2_   ENSG00000132604    16   69389464   69442474     89      16  279803     -0.27961      0.45592   -1.9429e-15     -0.27961
_SET2_   ENSG00000070444    17    2287354    2304412     44       7  283744      0.53626      0.18788   -1.9984e-15      0.53626
_SET2_   ENSG00000141510    17    7565097    7590856     65      19  273427      0.57893      0.17123   -1.9984e-15      0.57893
_SET2_   ENSG00000065559    17   11924141   12047147    226      21  278810    -0.029499      0.34712   -1.9602e-15    -0.029499
_SET2_   ENSG00000034152    17   21187984   21218552     71      12  257883     0.043072      0.34768   -1.9568e-15     0.043072
_SET2_   ENSG00000108798    17   47287589   47300587     40      11  275538        2.124    0.0068944   -1.7764e-15        2.124
_SET2_   ENSG00000121068    17   59477257   59486827     19       6  267012     -0.23115      0.48249   -1.9706e-15     -0.23115
_SET2_   ENSG00000198909    17   61699775   61773663     75       8  278126       1.7569      0.01737   -1.9984e-15       1.7569
_SET2_   ENSG00000108984    17   67410839   67539472    311      39  279868        1.786     0.012316   -1.9984e-15        1.786
_SET2_   ENSG00000105325    19    3506271    3538328     40       8  273310     -0.33516      0.50763   -1.9429e-15     -0.33516
_SET2_   ENSG00000077463    19    4174106    4182601     16       5  279031       1.2984     0.055131   -1.9984e-15       1.2984
_SET2_   ENSG00000076984    19    7968728    7979363     40      14  269884      0.86688      0.11193   -1.9984e-15      0.86688
_SET2_   ENSG00000179218    19   13049392   13055303      8       4  267687     -0.34732      0.53464   -1.9429e-15     -0.34732
_SET2_   ENSG00000213024    19   50410082   50433020     80      14  279833      0.44548      0.19811   -1.9429e-15      0.44548
_SET2_   ENSG00000189013    19   55236002   55325972    253      22  245826    -0.074301      0.38069   -1.9568e-15    -0.074301
_SET2_   ENSG00000080839    20   35624752   35724398    159      23  275189     -0.10323      0.38506   -1.9568e-15     -0.10323
_SET2_   ENSG00000159256    21   37692487   37758446    181      10  279488      0.55337      0.17825   -1.9984e-15      0.55337
_SET2_   ENSG00000240972    22   24236191   24237414      4       1  285917       1.1072     0.095035   -1.9984e-15       1.1072
_SET2_   ENSG00000185386    22   50702142   50709196     23       7  271732      0.53723      0.19634   -1.9984e-15      0.53723

# _SET3_  VARIABLE = GOBP_CIRCULATORY_SYSTEM_PROCESS (set)
# _SET3_  NGENES = 553
# _SET3_  P-VALUE = 1.1459e-07
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   ENSG00000162572     1    1215816    1227409     25      11  262293     -0.70176      0.65991   -1.9984e-15     -0.70176
_SET3_   ENSG00000158286     1    6265535    6281359     15       8  273899     -0.39589      0.54034   -1.9429e-15     -0.39589
_SET3_   ENSG00000049247     1    7903143    7913572     40      12  283409      0.20171      0.27166   -1.9706e-15      0.20171
_SET3_   ENSG00000142583     1    9095166    9148537    204      27  273917     -0.72779      0.62487   -1.9984e-15     -0.72779
_SET3_   ENSG00000178585     1    9908334    9970394     67      15  275472       2.0169    0.0089548   -1.7764e-15       2.0169
_SET3_   ENSG00000198793     1   11166592   11322564    106      20  270738     -0.56236      0.58314   -1.9984e-15     -0.56236
_SET3_   ENSG00000177674     1   11796141   11814859     55       9  280398       1.0111     0.080559   -1.9984e-15       1.0111
_SET3_   ENSG00000175206     1   11905766   11908402     16       4  270106        2.391    0.0042255   -1.7764e-15        2.391
_SET3_   ENSG00000120937     1   11917521   11918988      2       1  222626     0.033861      0.44874   -1.9568e-15     0.033861
_SET3_   ENSG00000173641     1   16340523   16346089     47       6  288281       1.9211    0.0099118   -1.9984e-15       1.9211
_SET3_   ENSG00000117298     1   21543740   21671997    297      34  280287      -0.6869      0.60041   -1.9984e-15      -0.6869
_SET3_   ENSG00000070831     1   22379120   22419437    108      14  275170      0.68172      0.15005   -1.9984e-15      0.68172
_SET3_   ENSG00000179546     1   23516993   23521222      8       2  292776      0.73465      0.14329   -1.9984e-15      0.73465
_SET3_   ENSG00000090020     1   27425306   27493472     80       7  277092      -1.4211       0.8554   -1.9984e-15      -1.4211
_SET3_   ENSG00000169403     1   28473677   28520447     54      16  274686     0.014754      0.35503   -1.9585e-15     0.014754
_SET3_   ENSG00000163874     1   37940153   37949980     14       5  285264       1.9051     0.011968   -1.9984e-15       1.9051
_SET3_   ENSG00000168389     1   40420802   40435638     16       8  275991      0.63401      0.16693   -1.9984e-15      0.63401
_SET3_   ENSG00000084073     1   40723779   40759856     49      10  273283      0.89623      0.10788   -1.9984e-15      0.89623
_SET3_   ENSG00000127129     1   41944446   41950344     19       6  275152      0.37726       0.2505   -1.9429e-15      0.37726
_SET3_   ENSG00000127125     1   42921788   42939056     39       5  284478       1.1864     0.060366   -1.9984e-15       1.1864
_SET3_   ENSG00000117394     1   43391052   43424530    104      14  280082      0.27323      0.24995   -1.9429e-15      0.27323
_SET3_   ENSG00000196517     1   44457172   44497139     55      18  279054       2.3242      0.00351   -1.7764e-15       2.3242
_SET3_   ENSG00000117480     1   46859937   46879520     31       8  282102      0.19601      0.28648   -1.9706e-15      0.19601
_SET3_   ENSG00000187048     1   47394849   47407156     25       4  275438     -0.18737      0.46339   -1.9706e-15     -0.18737
_SET3_   ENSG00000134716     1   60358980   60392462     57      10  283002     -0.67592      0.62188   -1.9984e-15     -0.67592
_SET3_   ENSG00000116678     1   65886248   66107242    496      26  280625       1.3993     0.031081   -1.9984e-15       1.3993
_SET3_   ENSG00000184588     1   66258197   66840259   1280      68  278596     -0.33722      0.44972   -1.9429e-15     -0.33722
_SET3_   ENSG00000116783     1   74663947   75010112    569      50  277965      -1.0499      0.73359   -1.9984e-15      -1.0499
_SET3_   ENSG00000153904     1   85784164   86043933    838      63  279532        0.494      0.17535   -1.9429e-15        0.494
_SET3_   ENSG00000023909     1   94350761   94374966     56       8  280470      0.50931      0.18895   -1.9984e-15      0.50931
_SET3_   ENSG00000213366     1  110210644  110252171    101      26  256289       1.3003     0.048634   -1.9984e-15       1.3003
_SET3_   ENSG00000197106     1  110693108  110744824     75      18  280561     -0.11399      0.37773   -1.9568e-15     -0.11399
_SET3_   ENSG00000121933     1  112025970  112106584    232      37  282655       0.6283      0.14087   -1.9984e-15       0.6283
_SET3_   ENSG00000171385     1  112313284  112531777    584      77  280770     -0.42719      0.50957   -1.9429e-15     -0.42719
_SET3_   ENSG00000155380     1  113454469  113499635     57      13  280175     -0.11776      0.39219   -1.9568e-15     -0.11776
_SET3_   ENSG00000118729     1  116242628  116311402    273      17  284091     0.036652      0.30924   -1.9568e-15     0.036652
_SET3_   ENSG00000163399     1  116915290  116952883     24      12  271906     -0.52137      0.58551   -1.9984e-15     -0.52137
_SET3_   ENSG00000160678     1  153600402  153604513     11       3  279582      0.43003      0.22886   -1.9429e-15      0.43003
_SET3_   ENSG00000169418     1  153651113  153666468     16       6  267338      0.74003      0.14851   -1.9984e-15      0.74003
_SET3_   ENSG00000143630     1  155247374  155259639     11       6  276884      -0.3045      0.50773   -1.9429e-15      -0.3045
_SET3_   ENSG00000132693     1  159682079  159684379      4       2  290564     -0.66116      0.63498   -1.9984e-15     -0.66116
_SET3_   ENSG00000018625     1  160085549  160113381     99      19  283011      0.42285      0.20133   -1.9429e-15      0.42285
_SET3_   ENSG00000132681     1  160121360  160156767    150      31  280826      0.26351      0.24036   -1.9429e-15      0.26351
_SET3_   ENSG00000198929     1  162039564  162353321    876      77  279156      0.58467      0.16239   -1.9984e-15      0.58467
_SET3_   ENSG00000117152     1  163038565  163046592     16       5  282033       1.0537     0.080471   -1.9984e-15       1.0537
_SET3_   ENSG00000143185     1  168510003  168513235     15       5  267746      -1.8075      0.93897   -1.9984e-15      -1.8075
_SET3_   ENSG00000143153     1  169074935  169101960     88      19  275647       3.5223   4.2445e-05   -1.7764e-15       3.5223
_SET3_   ENSG00000198734     1  169483404  169555826    277      22  285798     -0.59578      0.55239   -1.9984e-15     -0.59578
_SET3_   ENSG00000073756     1  186640923  186649559     17       7  283306       2.7149    0.0011794   -1.7764e-15       2.7149
_SET3_   ENSG00000116741     1  192778169  192781403      3       1  284655      0.24721      0.31835   -1.9706e-15      0.24721
_SET3_   ENSG00000118194     1  201328136  201346890     48      10  286294     -0.48226       0.5371   -1.9429e-15     -0.48226
_SET3_   ENSG00000170075     1  202091986  202102720     32      12  280892      -1.7412       0.9154   -1.9984e-15      -1.7412
_SET3_   ENSG00000163485     1  203059782  203136533    124      15  280906   -0.0064563      0.33989   -1.9585e-15   -0.0064563
_SET3_   ENSG00000058668     1  203595689  203713209    180      32  278709      -0.1245      0.38341   -1.9568e-15      -0.1245
_SET3_   ENSG00000143839     1  204123944  204135465     45      10  280647      0.88523      0.10463   -1.9984e-15      0.88523
_SET3_   ENSG00000198049     1  206223976  206231639     22       5  262594      0.21936      0.32589   -1.9706e-15      0.21936
_SET3_   ENSG00000174059     1  208057594  208084747     62      16  280422        1.306     0.043268   -1.9984e-15        1.306
_SET3_   ENSG00000092969     1  218519577  218617961    197      38  277572        0.059      0.32064   -1.9568e-15        0.059
_SET3_   ENSG00000135744     1  230838269  230850043     43      11  284058       1.3256     0.043625   -1.9984e-15       1.3256
_SET3_   ENSG00000198626     1  237205505  237997288   2615     192  278876       1.1317     0.061783   -1.9984e-15       1.1317
_SET3_   ENSG00000133019     1  239549865  240078750   1307      95  277825      0.11262      0.30223   -1.9568e-15      0.11262
_SET3_   ENSG00000115738     2    8818975    8824583     11       5  272772      -1.6709      0.92278   -1.9984e-15      -1.6709
_SET3_   ENSG00000119185     2    9543604    9563676     45       8  278720      0.11581      0.31774   -1.9568e-15      0.11581
_SET3_   ENSG00000134318     2   11319887   11488456    380      18  276887      -1.3589      0.82612   -1.9984e-15      -1.3589
_SET3_   ENSG00000119782     2   24272571   24286551     34       7  271362      0.67353      0.16097   -1.9984e-15      0.67353
_SET3_   ENSG00000115138     2   25383722   25391772     12       6  270492      0.66036      0.17168   -1.9984e-15      0.66036
_SET3_   ENSG00000138080     2   27301435   27309271      6       3  284588        1.763     0.019249   -1.9984e-15        1.763
_SET3_   ENSG00000138074     2   27422455   27435826     21       8  271974       1.4739     0.039607   -1.9984e-15       1.4739
_SET3_   ENSG00000013016     2   31456880   31492313    104      14  277661     -0.21067      0.42468   -1.9706e-15     -0.21067
_SET3_   ENSG00000183023     2   40324410   40838193   1414     120  277448      0.70851      0.14756   -1.9984e-15      0.70851
_SET3_   ENSG00000116016     2   46520806   46613836    221      43  278759       1.4018     0.034589   -1.9984e-15       1.4018
_SET3_   ENSG00000143933     2   47387221   47403740     35      12  273862     -0.24392      0.46816   -1.9706e-15     -0.24392
_SET3_   ENSG00000115239     2   53759810   54087170   1027      63  280950      -1.8129      0.91275   -1.9984e-15      -1.8129
_SET3_   ENSG00000115902     2   65215611   65250999    111      26  276087       1.0812     0.070777   -1.9984e-15       1.0812
_SET3_   ENSG00000163217     2   69092613   69098649     15       4  277374      0.99111     0.098409   -1.9984e-15      0.99111
_SET3_   ENSG00000188687     2   74443369   74570541    131      30  274274     -0.16828      0.41301   -1.9706e-15     -0.16828
_SET3_   ENSG00000115353     2   75273590   75426826    345      43  281844      0.94584     0.080428   -1.9984e-15      0.94584
_SET3_   ENSG00000204634     2  101624079  101869328    663      38  281928       0.3498      0.20523   -1.9429e-15       0.3498
_SET3_   ENSG00000136717     2  127805603  127864931    252      24  284849     -0.82749      0.64277   -1.9984e-15     -0.82749
_SET3_   ENSG00000121966     2  136871919  136875735      5       3  281892      -1.3148      0.85362   -1.9984e-15      -1.3148
_SET3_   ENSG00000162989     2  155554811  155714863    479      51  278919       1.1663     0.054331   -1.9984e-15       1.1663
_SET3_   ENSG00000144285     2  166845670  166984523    405      23  282622      -1.3735      0.81665   -1.9984e-15      -1.3735
_SET3_   ENSG00000198648     2  168810530  169104651    683      40  283853      0.73283      0.11006   -1.9984e-15      0.73283
_SET3_   ENSG00000081479     2  169983619  170219195    706      76  277913      0.40958      0.20773   -1.9429e-15      0.40958
_SET3_   ENSG00000155657     2  179390716  179695529    386      27  275481      0.32246      0.23778   -1.9429e-15      0.32246
_SET3_   ENSG00000115415     2  191829084  191885686    134      23  279706       0.5902      0.15685   -1.9984e-15       0.5902
_SET3_   ENSG00000116030     2  203070903  203103331     77      12  279555       2.1843    0.0049323   -1.7764e-15       2.1843
_SET3_   ENSG00000204217     2  203241659  203432474    367      20  281130       1.2323     0.048253   -1.9984e-15       1.2323
_SET3_   ENSG00000021826     2  211342406  211543831    483      38  278518     -0.48797      0.51447   -1.9429e-15     -0.48797
_SET3_   ENSG00000180871     2  218990012  219001976     19       5  266826       -1.307      0.84383   -1.9984e-15       -1.307
_SET3_   ENSG00000175084     2  220283099  220291461     15       5  281405     0.091489      0.33885   -1.9568e-15     0.091489
_SET3_   ENSG00000114923     2  220492049  220506702     18       5  282424      0.36604      0.25256   -1.9429e-15      0.36604
_SET3_   ENSG00000152049     2  223916532  224063117    698      34  281886      0.26588      0.23121   -1.9429e-15      0.26588
_SET3_   ENSG00000169031     2  228029281  228179508    786      60  278509      0.15225      0.28052   -1.9706e-15      0.15225
_SET3_   ENSG00000135914     2  231972944  231989832     13       6  276486     -0.19233      0.46458   -1.9706e-15     -0.19233
_SET3_   ENSG00000163273     2  232786530  232791113      4       1  285278     -0.82495      0.73637   -1.9984e-15     -0.82495
_SET3_   ENSG00000132326     2  239152679  239198743    112      17  280428      -0.4967      0.54326   -1.9429e-15      -0.4967
_SET3_   ENSG00000182533     3    8775486    8883492    352      55  280120       1.3306     0.040175   -1.9984e-15       1.3306
_SET3_   ENSG00000180914     3    8792094    8811314     89      21  282436      0.11319      0.29123   -1.9568e-15      0.11319
_SET3_   ENSG00000157017     3   10327359   10334631     13       5  284528       0.5323         0.19   -1.9984e-15       0.5323
_SET3_   ENSG00000157087     3   10365707   10749716   1098     117  281556      0.94942      0.09736   -1.9984e-15      0.94942
_SET3_   ENSG00000157103     3   11034410   11080933    140      34  281826      0.69849      0.12915   -1.9984e-15      0.69849
_SET3_   ENSG00000196639     3   11178779   11305243    291      41  279110      0.53856      0.16809   -1.9984e-15      0.53856
_SET3_   ENSG00000132170     3   12328867   12475855    338      25  281454       1.4775     0.026963   -1.9984e-15       1.4775
_SET3_   ENSG00000131389     3   14444076   14530857    233      41  280417     -0.46963      0.51231   -1.9429e-15     -0.46963
_SET3_   ENSG00000151090     3   24158651   24536773   1094     112  280071     -0.33928      0.49038   -1.9429e-15     -0.33928
_SET3_   ENSG00000152642     3   32147181   32210205    160      17  282039      0.48189      0.18252   -1.9429e-15      0.48189
_SET3_   ENSG00000183873     3   38589548   38691164    300      44  282835    0.0060367      0.32554   -1.9585e-15    0.0060367
_SET3_   ENSG00000185313     3   38738293   38835501    293      26  283995      0.95626      0.07846   -1.9984e-15      0.95626
_SET3_   ENSG00000163817     3   45796942   45838027     89      27  279248       1.2441     0.048703   -1.9984e-15       1.2441
_SET3_   ENSG00000160808     3   46899362   46923659     33       8  278799       1.0839     0.081879   -1.9984e-15       1.0839
_SET3_   ENSG00000213689     3   48506445   48509044      3       2  285652       2.0722    0.0093489   -1.7764e-15       2.0722
_SET3_   ENSG00000233276     3   49394609   49396033      4       2  258562       3.7478   3.8447e-05   -1.7764e-15       3.7478
_SET3_   ENSG00000067560     3   49396578   49450431     99      11  273545       2.8935   0.00054479   -1.7764e-15       2.8935
_SET3_   ENSG00000114353     3   50263724   50296787     27      11  280109       0.3441      0.24804   -1.9429e-15       0.3441
_SET3_   ENSG00000114854     3   52485118   52488086      2       1  285139      0.68285      0.19931   -1.9984e-15      0.68285
_SET3_   ENSG00000157388     3   53528683   53847760    702      77  280593      0.83424      0.10626   -1.9984e-15      0.83424
_SET3_   ENSG00000151577     3  113847499  113918254    177      29  278369        1.163     0.059799   -1.9984e-15        1.163
_SET3_   ENSG00000121577     3  119355304  119384171    128      13  279168      0.72889      0.12832   -1.9984e-15      0.72889
_SET3_   ENSG00000163406     3  121612936  121662949    205       6  282801     -0.77605      0.64133   -1.9984e-15     -0.77605
_SET3_   ENSG00000036828     3  121902530  122005342    371      24  284792      0.45009      0.17996   -1.9429e-15      0.45009
_SET3_   ENSG00000173706     3  124684554  124774802    280      24  277803      0.44287      0.18711   -1.9429e-15      0.44287
_SET3_   ENSG00000144935     3  142442916  142526730    120      17  283078      0.62194       0.1489   -1.9984e-15      0.62194
_SET3_   ENSG00000144891     3  148415571  148460795     76      13  279527     -0.67339      0.62155   -1.9984e-15     -0.67339
_SET3_   ENSG00000163751     3  148583043  148614983     77      13  279453      0.59174      0.16319   -1.9984e-15      0.59174
_SET3_   ENSG00000018408     3  149235022  149454501    673      57  280065     -0.53594      0.53896   -1.9984e-15     -0.53594
_SET3_   ENSG00000198829     3  151591431  151602405     23       8  283706      0.23357      0.27479   -1.9706e-15      0.23357
_SET3_   ENSG00000169860     3  152552736  152555841      2       1  288841     -0.34415      0.56541   -1.9429e-15     -0.34415
_SET3_   ENSG00000168779     3  157814948  157824292     35       5  274929       -0.282      0.49064   -1.9429e-15       -0.282
_SET3_   ENSG00000197584     3  177990720  178562217   1506      84  282898     0.016125      0.31752   -1.9602e-15     0.016125
