# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = GOBP_REGULATION_OF_RETROGRADE_PROTEIN_TRANSPORT_ER_TO_CYTOSOL (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 1.16336e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
# _SET3_  NGENES = 18
# _SET3_  P-VALUE = 3.4083e-09
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   ENSG00000157193     1   53711217   53793742    138      30  322270      -1.1069      0.80687    6.6613e-16      -1.1069
_SET3_   ENSG00000169174     1   55505221   55530525     94      19  323969       1.5136     0.040203    6.6613e-16       1.5136
_SET3_   ENSG00000144381     2  198351305  198381461     49       7  307995       1.5389     0.040158    6.6613e-16       1.5389
_SET3_   ENSG00000138823     4  100484918  100545156    238      24  320287     -0.59157      0.63877    6.6613e-16     -0.59157
_SET3_   ENSG00000127022     5  179105629  179157926    162      17  314368       2.0472     0.010792    4.4409e-16       2.0472
_SET3_   ENSG00000095970     6   41126244   41130924      2       1  313900      0.14913      0.41604    6.6613e-16      0.14913
_SET3_   ENSG00000198670     6  160952515  161087407    242      23  316457       5.5194   3.7102e-09    8.8818e-16       5.5194
_SET3_   ENSG00000122194     6  161123270  161174347    141      13  320808       4.6595   4.3587e-07    8.8818e-16       4.6595
_SET3_   ENSG00000175445     8   19759228   19824769    161      28  321341       3.0228   0.00056251    4.4409e-16       3.0228
_SET3_   ENSG00000147852     9    2621834    2660053    124      21  319478       2.2217     0.006814    4.4409e-16       2.2217
_SET3_   ENSG00000165029     9  107543283  107690518    479      75  320261      0.56082      0.21525    6.6613e-16      0.56082
_SET3_   ENSG00000134569    11   46878419   46940193     59      11  308520      0.94977      0.13161    6.6613e-16      0.94977
_SET3_   ENSG00000123384    12   57522276   57607134     98      21  322887       1.9791     0.013398    6.6613e-16       1.9791
_SET3_   ENSG00000073060    12  125261402  125367214    348      51  318362       2.4244    0.0036523    4.4409e-16       2.4244
_SET3_   ENSG00000166035    15   58702768   58861151    514      72  319244       1.7665     0.022123    6.6613e-16       1.7665
_SET3_   ENSG00000213398    16   67973653   67978034      1       1  315126     -0.61226      0.71293    6.6613e-16     -0.61226
_SET3_   ENSG00000186868    17   43971748   44105700    796       5  323561     -0.75949      0.67115    6.6613e-16     -0.75949
_SET3_   ENSG00000186818    19   55155340   55181810    120      23  317705       1.0856      0.09551    6.6613e-16       1.0856

# _SET4_  VARIABLE = GOMF_POLYAMINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY (set)
# _SET4_  NGENES = 9
# _SET4_  P-VALUE = 1.2914e-06
_SET4_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET4_   ENSG00000159363     1   17312453   17338423     49      12  319349     0.051968      0.39816    6.5226e-16     0.051968
_SET4_   ENSG00000187527     3  192992579  193096632    356      26  321381       0.8376      0.13235    6.6613e-16       0.8376
_SET4_   ENSG00000127249     3  193119866  193310900    513      38  318955     -0.41596      0.55553    6.6613e-16     -0.41596
_SET4_   ENSG00000133657     3  194123401  194219093     94      16  313960        1.012      0.11025    6.6613e-16        1.012
_SET4_   ENSG00000146409     6  133090509  133119701     72      17  312688       1.9254     0.017426    6.6613e-16       1.9254
_SET4_   ENSG00000175003     6  160542821  160579750     99      21  320141        1.665      0.02889    6.6613e-16        1.665
_SET4_   ENSG00000112499     6  160592093  160698670    322      24  320165       3.0538   0.00044441    4.4409e-16       3.0538
_SET4_   ENSG00000146477     6  160769300  160876014    226      18  325676       6.2361    3.606e-12    8.8818e-16       6.2361
_SET4_   ENSG00000142494    17   19398698   19482347    150      25  314831       2.3106    0.0053492    4.4409e-16       2.3106

# _SET5_  VARIABLE = REACTOME_CHYLOMICRON_CLEARANCE (set)
# _SET5_  NGENES = 5
# _SET5_  P-VALUE = 7.8653e-09
_SET5_   GENE              CHR     START      STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET5_   ENSG00000157978     1  25870071  25895377     45       8  321032      0.73385      0.16794    6.6613e-16      0.73385
_SET5_   ENSG00000084674     2  21224301  21266945     50      16  315792       1.9601     0.015855    6.6613e-16       1.9601
_SET5_   ENSG00000166035    15  58702768  58861151    514      72  319244       1.7665     0.022123    6.6613e-16       1.7665
_SET5_   ENSG00000130164    19  11200038  11244492    158      21  317766       2.5358    0.0026804    4.4409e-16       2.5358
_SET5_   ENSG00000130203    19  45409011  45412650      6       3  327797       6.3547   1.0202e-11    8.8818e-16       6.3547
