GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000268332	1	6100630	6101399	4	2	321322	-0.52166	0.69905	AL035406.1
ENSG00000116254	1	6161853	6240183	212	32	315307	-0.14111	0.55611	CHD5
ENSG00000116251	1	6241329	6269449	39	9	316966	1.4594	0.072226	RPL22
ENSG00000158286	1	6265535	6281359	15	8	315951	1.4674	0.071138	RNF207
ENSG00000116237	1	6281253	6296032	23	5	315835	-1.2728	0.89846	ICMT
ENSG00000173673	1	6304252	6305638	4	1	323637	0.26641	0.39496	HES3
ENSG00000158292	1	6307406	6321035	38	3	321240	0.020732	0.49173	GPR153
ENSG00000097021	1	6324329	6454451	263	23	315274	-0.53601	0.70402	ACOT7
ENSG00000069812	1	6472478	6484730	34	8	315378	-0.25397	0.60024	HES2
ENSG00000187017	1	6484848	6521430	81	12	320665	-0.26376	0.60402	ESPN
ENSG00000215788	1	6521211	6526255	9	4	319816	-2.6035	0.99539	TNFRSF25
ENSG00000171680	1	6526152	6580121	110	23	317715	1.459	0.072277	PLEKHG5
ENSG00000162408	1	6581407	6614595	109	4	313961	1.8766	0.030285	NOL9
ENSG00000173662	1	6615241	6639817	31	8	312488	1.5995	0.05485	TAS1R1
ENSG00000204859	1	6640061	6649340	11	4	322305	-0.074562	0.52972	ZBTB48
ENSG00000162413	1	6650784	6674667	48	11	322868	-0.25014	0.59876	KLHL21
ENSG00000116273	1	6673745	6684093	23	5	317768	-0.7991	0.78788	PHF13
ENSG00000041988	1	6684926	6695646	34	6	323643	-1.3871	0.91729	THAP3
ENSG00000007923	1	6694228	6761984	165	18	318753	-2.007	0.97763	DNAJC11
ENSG00000171735	1	6845384	7829766	2814	200	317898	1.9141	0.027805	CAMTA1
ENSG00000049245	1	7831329	7841492	33	8	330937	-0.39937	0.65519	VAMP3
ENSG00000049246	1	7844380	7905237	222	24	322379	-0.53562	0.70389	PER3
ENSG00000049247	1	7903143	7913572	40	12	323517	0.26796	0.39436	UTS2
ENSG00000049249	1	7979907	8000926	25	9	310453	0.9368	0.17443	TNFRSF9
ENSG00000116288	1	8014351	8045565	45	9	321835	-0.099959	0.53981	PARK7
ENSG00000116285	1	8064464	8086368	25	7	317203	0.24972	0.4014	ERRFI1
ENSG00000162426	1	8377886	8404227	85	14	320390	1.2965	0.097398	SLC45A1
ENSG00000142599	1	8412457	8877702	774	23	317617	1.2349	0.10844	RERE
ENSG00000074800	1	8921061	8939308	26	5	319600	0.16656	0.43386	ENO1
ENSG00000131686	1	9005926	9035151	109	23	320714	1.2407	0.10736	CA6
ENSG00000197241	1	9063359	9086404	80	19	316491	-0.11421	0.54546	SLC2A7
ENSG00000142583	1	9095166	9148537	204	27	313987	-1.7028	0.9557	SLC2A5
ENSG00000180758	1	9160364	9189229	87	11	316956	0.072338	0.47117	GPR157
ENSG00000049239	1	9294834	9331396	109	19	317261	-0.79414	0.78644	H6PD
ENSG00000171621	1	9352939	9429591	349	51	317605	-0.93219	0.82438	SPSB1
ENSG00000171612	1	9599541	9645237	56	15	308834	0.8602	0.19484	SLC25A33
ENSG00000188807	1	9648932	9674935	32	8	321510	1.4357	0.07555	TMEM201
ENSG00000171608	1	9711790	9789172	94	29	312358	-0.4658	0.67932	PIK3CD
ENSG00000179840	1	9712668	9714644	1	1	331708	-0.033196	0.51324	C1orf200
ENSG00000171603	1	9789084	9884584	82	32	313397	0.84416	0.19929	CLSTN1
ENSG00000178585	1	9908334	9970394	67	15	316918	0.34681	0.36437	CTNNBIP1
ENSG00000162441	1	9982173	10003465	37	9	315610	-0.38431	0.64963	LZIC
ENSG00000173614	1	10003486	10045559	57	12	313364	-0.3682	0.64364	NMNAT1
ENSG00000162444	1	10057264	10076078	28	3	310665	-0.53653	0.7042	RBP7
ENSG00000130939	1	10092890	10241297	271	17	311529	0.50485	0.30683	UBE4B
ENSG00000054523	1	10270863	10441661	610	17	316426	1.1755	0.11989	KIF1B
ENSG00000142657	1	10458649	10480201	53	7	321157	0.53338	0.29689	PGD
ENSG00000175279	1	10490159	10512210	60	6	311520	-0.25014	0.59876	APITD1
ENSG00000251503	1	10490159	10512210	60	6	311520	-0.25014	0.59876	APITD1-CORT
ENSG00000241563	1	10509776	10511959	4	2	324414	-0.39419	0.65328	CORT
ENSG00000160049	1	10516579	10532583	23	5	308728	0.067228	0.4732	DFFA
ENSG00000142655	1	10532345	10690815	365	27	318805	0.053864	0.47852	PEX14
ENSG00000130940	1	10696661	10856707	380	82	314302	1.2273	0.10986	CASZ1
ENSG00000175262	1	11006528	11042094	49	14	313762	-1.3164	0.90598	C1orf127
ENSG00000120948	1	11072414	11085796	19	3	308241	-0.47703	0.68333	TARDBP
ENSG00000009724	1	11086580	11107290	35	7	316738	-0.27398	0.60795	MASP2
ENSG00000116649	1	11114641	11120081	3	2	295744	0.44186	0.32929	SRM
ENSG00000171824	1	11126675	11159938	27	12	306617	-0.54542	0.70727	EXOSC10
ENSG00000198793	1	11166592	11322564	106	20	312545	-1.8015	0.96419	MTOR
ENSG00000171819	1	11249398	11256038	4	2	315455	0.062343	0.47514	ANGPTL7
ENSG00000120942	1	11333263	11356106	21	9	308905	-0.2849	0.61214	UBIAD1
ENSG00000204624	1	11539223	11597641	99	13	323104	-0.26151	0.60315	PTCHD2
ENSG00000116661	1	11708424	11715842	20	9	309904	-0.62386	0.73364	FBXO2
ENSG00000132879	1	11714432	11723384	23	8	314261	-0.14263	0.55671	FBXO44
ENSG00000116663	1	11724181	11734411	40	10	308142	-1.4172	0.92179	FBXO6
ENSG00000116670	1	11734537	11751707	52	11	322788	-0.82303	0.79475	MAD2L2
ENSG00000162490	1	11751786	11785914	112	20	317000	-0.9351	0.82513	DRAXIN
ENSG00000177674	1	11796141	11814859	55	9	321274	-1.6504	0.95057	AGTRAP
ENSG00000215910	1	11821844	11849642	171	12	322732	0.47602	0.31703	C1orf167
ENSG00000177000	1	11845780	11866977	90	11	321941	0.17434	0.4308	MTHFR
ENSG00000011021	1	11866207	11903201	219	15	321952	0.2523	0.4004	CLCN6
ENSG00000175206	1	11905766	11908402	16	4	310075	-0.059049	0.52354	NPPA
ENSG00000120937	1	11917521	11918988	2	1	260987	-1.0498	0.8531	NPPB
ENSG00000116685	1	11979648	11986485	23	7	325415	-0.15368	0.56107	KIAA2013
ENSG00000083444	1	11994262	12035595	99	13	321676	-1.1949	0.88393	PLOD1
ENSG00000116688	1	12040238	12073571	96	9	313911	0.99096	0.16085	MFN2
ENSG00000116691	1	12079523	12092102	24	5	322165	0.16632	0.43395	MIIP
ENSG00000120949	1	12123434	12204264	213	39	318366	1.985	0.023573	TNFRSF8
ENSG00000028137	1	12227060	12269285	151	18	314597	0.81085	0.20873	TNFRSF1B
ENSG00000048707	1	12290124	12572099	452	22	312796	-0.13691	0.55445	VPS13D
ENSG00000162496	1	12627939	12677737	172	32	319769	0.33647	0.36826	DHRS3
ENSG00000204518	1	12704566	12727097	32	7	315223	0.23101	0.40865	AADACL4
ENSG00000188984	1	12776118	12788726	45	6	321194	-1.4092	0.92062	AADACL3
ENSG00000157330	1	12806163	12823847	55	11	314836	-1.5003	0.93323	C1orf158
ENSG00000116726	1	12834984	12838049	5	3	309590	-1.065	0.85655	PRAMEF12
ENSG00000116721	1	12851546	12856777	23	4	292543	0.36885	0.35612	PRAMEF1
ENSG00000204513	1	12884468	12891264	23	5	294947	-1.0507	0.8533	PRAMEF11
ENSG00000179172	1	12907261	12908578	3	1	291139	-0.41998	0.66275	HNRNPCL1
ENSG00000120952	1	12916941	12921764	13	3	301068	-0.029451	0.51175	PRAMEF2
ENSG00000243073	1	12939045	12946025	10	4	291139	-0.83681	0.79865	PRAMEF4
ENSG00000187545	1	12952727	12958101	1	1	291139	-0.064415	0.52568	PRAMEF10
ENSG00000232423	1	12998181	13117751	5	3	291398	-1.3438	0.91049	PRAMEF6
ENSG00000204491	1	13474689	13477522	2	1	297569	0.89144	0.18635	PRAMEF18
ENSG00000204486	1	13516066	13526943	1	1	291139	-1.25	0.89435	PRAMEF21
ENSG00000204479	1	13716092	13719089	1	1	291139	-1.4879	0.93161	PRAMEF17
ENSG00000204478	1	13736907	13747803	2	1	291139	-0.52549	0.70038	PRAMEF20
ENSG00000162494	1	13801445	13840543	145	33	317965	1.024	0.15292	LRRC38
ENSG00000162493	1	13909960	13944452	107	26	313950	0.46823	0.31981	PDPN
ENSG00000116731	1	14026693	14151574	335	30	318949	-0.14601	0.55804	PRDM2
ENSG00000189337	1	14925200	15444539	1748	195	318708	-0.5804	0.71918	KAZN
ENSG00000171729	1	15479028	15546976	357	26	324918	-0.18279	0.57252	TMEM51
ENSG00000204464	1	15490840	15497813	28	7	327221	0.21974	0.41304	C1orf195
ENSG00000142621	1	15573768	15726779	457	59	318440	-0.71504	0.76271	FHAD1
ENSG00000142634	1	15736391	15756839	59	18	318111	-0.23552	0.5931	EFHD2
ENSG00000162438	1	15764935	15775737	25	7	316614	-0.51157	0.69552	CTRC
ENSG00000142615	1	15783223	15798586	54	8	323956	-1.4104	0.92079	CELA2A
ENSG00000215704	1	15792404	15817895	83	13	319731	-1.1429	0.87346	CELA2B
ENSG00000132906	1	15817327	15853029	154	9	319261	-0.86327	0.80601	CASP9
ENSG00000116138	1	15853308	15918874	231	13	320535	-0.8106	0.7912	DNAJC16
ENSG00000116771	1	15898848	15911605	60	6	318570	-0.66326	0.74642	AGMAT
ENSG00000197312	1	15943995	15995539	124	7	316162	-0.42426	0.66431	DDI2
ENSG00000215695	1	15986364	15988217	3	2	325457	1.0124	0.15566	RSC1A1
ENSG00000116786	1	16010827	16061264	92	13	320075	-0.25344	0.60003	PLEKHM2
ENSG00000162461	1	16062900	16067891	4	2	323282	0.49379	0.31073	SLC25A34
ENSG00000162460	1	16068917	16074477	18	4	301443	-0.45903	0.67689	TMEM82
ENSG00000162458	1	16083102	16113089	65	13	317159	1.2507	0.10553	FBLIM1
ENSG00000065526	1	16174359	16266955	159	19	319090	0.96813	0.16649	SPEN
ENSG00000116809	1	16268364	16302627	58	12	321014	0.68721	0.24597	ZBTB17
ENSG00000183888	1	16330731	16335302	17	6	323225	0.33562	0.36858	C1orf64
ENSG00000173641	1	16340523	16346089	47	6	327487	0.71947	0.23593	HSPB7
ENSG00000186510	1	16345370	16360545	91	12	322313	-0.28887	0.61366	CLCNKA
ENSG00000184908	1	16370272	16383803	103	11	315863	1.0525	0.14628	CLCNKB
ENSG00000185519	1	16384264	16400127	79	11	303769	0.01135	0.49547	FAM131C
ENSG00000142627	1	16450832	16482582	40	10	321807	0.2677	0.39447	EPHA2
ENSG00000142632	1	16524349	16539104	56	4	318017	0.37155	0.35511	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	326292	0.2719	0.39285	C1orf134
ENSG00000132881	1	16558195	16563657	12	5	327239	0.50302	0.30747	RSG1
ENSG00000037637	1	16573334	16678949	191	15	318746	1.4274	0.076725	FBXO42
ENSG00000055070	1	16679070	16724640	103	13	316351	-0.10458	0.54164	SZRD1
ENSG00000187144	1	16713612	16763919	136	21	317517	-0.12837	0.55107	SPATA21
ENSG00000157191	1	16767167	16786573	42	10	321716	-0.30891	0.62131	NECAP2
ENSG00000219481	1	16888814	16940057	75	24	291317	-0.40855	0.65857	NBPF1
ENSG00000058453	1	17066768	17299474	217	33	300231	0.43718	0.33099	CROCC
ENSG00000117122	1	17300997	17307330	11	4	317278	0.92621	0.17717	MFAP2
ENSG00000159363	1	17312453	17338423	49	12	319349	0.25811	0.39816	ATP13A2
ENSG00000117118	1	17345217	17380665	69	14	323948	-1.5435	0.93865	SDHB
ENSG00000117115	1	17393256	17445948	264	14	322445	-1.0227	0.84677	PADI2
ENSG00000142623	1	17531621	17572500	151	40	322813	0.53147	0.29755	PADI1
ENSG00000142619	1	17575593	17610728	178	25	326244	0.47282	0.31817	PADI3
ENSG00000159339	1	17634690	17690499	350	29	318736	-0.085581	0.5341	PADI4
ENSG00000269468	1	17655507	17676070	160	13	324882	-0.023046	0.50919	AC004824.2
ENSG00000179051	1	17733256	17766220	82	12	320120	-0.01386	0.50553	RCC2
ENSG00000074964	1	17866330	18024369	413	43	318869	-0.19379	0.57683	ARHGEF10L
ENSG00000117148	1	18081808	18153558	212	21	319351	1.4602	0.072116	ACTL8
ENSG00000117154	1	18434240	18704977	966	118	321595	2.0327	0.021039	IGSF21
ENSG00000179023	1	18807424	18812478	22	4	329135	-0.53679	0.70429	KLHDC7A
ENSG00000009709	1	18957500	19075360	357	74	313994	0.38153	0.35141	PAX7
ENSG00000179002	1	19166093	19186176	99	17	325987	0.24509	0.40319	TAS1R2
ENSG00000255275	1	19175767	19247615	320	41	320962	-0.4866	0.68673	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	122	20	321958	-1.0721	0.85815	ALDH4A1
ENSG00000169991	1	19230775	19283180	150	35	313932	0.89159	0.18631	IFFO2
ENSG00000127481	1	19401000	19536770	279	17	322153	0.0094794	0.49622	UBR4
ENSG00000127463	1	19542158	19578046	108	13	322948	-0.71357	0.76225	EMC1
ENSG00000053372	1	19578033	19586622	47	7	325798	1.2201	0.11122	MRTO4
ENSG00000162482	1	19609052	19615744	30	5	318696	1.3632	0.086417	AKR7A3
ENSG00000053371	1	19630459	19638640	26	10	323320	2.1153	0.017202	AKR7A2
ENSG00000040487	1	19638820	19655794	92	12	322731	1.7122	0.043433	PQLC2
ENSG00000077549	1	19665267	19812066	539	21	320565	0.16429	0.43475	CAPZB
ENSG00000270136	1	19923473	19984549	178	33	316179	0.74078	0.22941	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	69	15	319198	1.5373	0.062114	MINOS1
ENSG00000158747	1	19967048	19984945	74	22	313285	-0.84525	0.80102	NBL1
ENSG00000158748	1	19991780	20006055	40	8	320180	-1.6937	0.95484	HTR6
ENSG00000162542	1	20008706	20126438	407	54	321802	1.0565	0.14536	TMCO4
ENSG00000178828	1	20140523	20141771	5	3	316635	1.228	0.10972	RNF186
ENSG00000169914	1	20209006	20239438	88	14	319345	-0.3694	0.64408	OTUD3
ENSG00000188784	1	20246502	20250110	17	5	328558	-0.16795	0.56669	PLA2G2E
ENSG00000188257	1	20301925	20306932	15	6	321852	1.2568	0.10442	PLA2G2A
ENSG00000127472	1	20354672	20417683	186	22	324851	2.0114	0.022142	PLA2G5
ENSG00000117215	1	20438432	20446050	17	8	319373	0.64785	0.25854	PLA2G2D
ENSG00000158786	1	20465819	20476879	21	9	320798	0.6802	0.24819	PLA2G2F
ENSG00000187980	1	20487746	20503917	59	12	323539	0.22973	0.40915	PLA2G2C
ENSG00000162543	1	20512578	20522541	7	3	314204	2.3288	0.0099361	UBXN10
ENSG00000158816	1	20617412	20681387	229	27	322227	-0.19663	0.57794	VWA5B1
ENSG00000162545	1	20808884	20812713	4	2	329689	0.81442	0.2077	CAMK2N1
ENSG00000090432	1	20825943	20834654	26	8	322488	0.090958	0.46376	MUL1
ENSG00000183114	1	20878932	20881512	4	1	314612	-1.1039	0.86517	FAM43B
ENSG00000158825	1	20915441	20945401	132	19	320050	0.78907	0.21503	CDA
ENSG00000158828	1	20959948	20978004	90	11	315719	0.51763	0.30236	PINK1
ENSG00000244038	1	20978270	20988000	35	7	312789	1.803	0.035693	DDOST
ENSG00000117245	1	20990507	21044510	181	42	318958	1.2768	0.10083	KIF17
ENSG00000189410	1	21046225	21059330	24	8	323098	1.6449	0.049991	SH2D5
ENSG00000127483	1	21069154	21113816	114	16	315111	1.5323	0.062726	HP1BP3
ENSG00000075151	1	21132963	21503377	842	25	315876	1.2964	0.097426	EIF4G3
ENSG00000117298	1	21543740	21671997	297	34	320323	0.1598	0.43652	ECE1
ENSG00000142794	1	21766621	21811498	179	16	306845	-0.28105	0.61067	NBPF3
ENSG00000162551	1	21835858	21904905	279	29	322941	-0.39659	0.65416	ALPL
ENSG00000076864	1	21922708	21995801	273	41	320241	1.8134	0.034884	RAP1GAP
ENSG00000090686	1	22004791	22110099	325	34	322314	2.4076	0.0080283	USP48
ENSG00000187942	1	22138758	22151714	42	17	319180	1.2106	0.11302	LDLRAD2
ENSG00000142798	1	22148738	22263790	340	36	318378	-0.64591	0.74083	HSPG2
ENSG00000219073	1	22303514	22325135	108	19	296995	0.027997	0.48883	CELA3B
ENSG00000142789	1	22328149	22339032	23	8	291212	-0.19339	0.57667	CELA3A
ENSG00000070831	1	22379120	22419437	108	14	314788	0.95449	0.16992	CDC42
ENSG00000162552	1	22443798	22470462	93	15	316462	1.5641	0.058896	WNT4
ENSG00000184677	1	22778344	22857650	105	17	317421	-0.16286	0.56468	ZBTB40
ENSG00000070886	1	22890057	22930087	153	26	315970	-0.59975	0.72566	EPHA8
ENSG00000173372	1	22962999	22966101	4	2	327316	0.12285	0.45111	C1QA
ENSG00000159189	1	22970123	22974603	12	4	322729	0.73497	0.23118	C1QC
ENSG00000173369	1	22979255	22988031	9	3	310181	0.85497	0.19628	C1QB
ENSG00000133216	1	23037332	23241818	360	49	320097	1.5142	0.064986	EPHB2
ENSG00000215906	1	23279536	23291831	20	8	321703	0.99478	0.15992	LACTBL1
ENSG00000227868	1	23337327	23342343	9	3	331033	2.3927	0.0083621	C1orf234
ENSG00000004487	1	23345941	23410182	63	12	315016	2.0734	0.019066	KDM1A
ENSG00000169641	1	23410516	23504301	172	20	320753	1.7365	0.041233	LUZP1
ENSG00000179546	1	23516993	23521222	8	2	332307	0.45491	0.32459	HTR1D
ENSG00000125944	1	23630264	23670829	30	9	312093	-0.66101	0.7457	HNRNPR
ENSG00000125945	1	23685941	23695935	21	4	322603	-0.33618	0.63163	ZNF436
ENSG00000249087	1	23695490	23698332	2	1	321826	-2.6267	0.99569	C1orf213
ENSG00000204219	1	23707554	23751233	63	19	316079	0.19175	0.42397	TCEA3
ENSG00000088280	1	23755056	23811061	83	12	316540	0.71081	0.2386	ASAP3
ENSG00000007968	1	23832922	23857712	29	7	304710	0.09069	0.46387	E2F2
ENSG00000117318	1	23884409	23886285	5	3	326637	-1.4073	0.92033	ID3
ENSG00000197880	1	23907985	23967058	112	25	318002	-0.45009	0.67368	MDS2
ENSG00000142676	1	24018269	24022915	7	3	309228	0.19556	0.42248	RPL11
ENSG00000011007	1	24069645	24088549	21	9	315933	0.033631	0.48659	TCEB3
ENSG00000057757	1	24104895	24114722	11	4	311026	-1.251	0.89453	PITHD1
ENSG00000011009	1	24117460	24122029	4	1	312506	-1.5913	0.94422	LYPLA2
ENSG00000117308	1	24122089	24127271	1	1	327913	0.75336	0.22562	GALE
ENSG00000117305	1	24128375	24165110	51	4	319117	-0.10777	0.54291	HMGCL
ENSG00000179163	1	24171567	24194784	56	7	308616	0.075078	0.47008	FUCA1
ENSG00000188822	1	24197016	24285549	225	15	314654	0.6762	0.24946	CNR2
ENSG00000189266	1	24285599	24289952	7	2	298604	0.9446	0.17243	PNRC2
ENSG00000188529	1	24291294	24307417	12	4	280773	0.87416	0.19102	SRSF10
ENSG00000142661	1	24382525	24438665	173	21	320815	0.48869	0.31253	MYOM3
ENSG00000142677	1	24446261	24469611	65	13	323778	0.63204	0.26368	IL22RA1
ENSG00000185436	1	24480647	24514449	116	20	317604	0.069183	0.47242	IFNLR1
ENSG00000158055	1	24645812	24690972	81	18	321768	0.68898	0.24542	GRHL3
ENSG00000001460	1	24683489	24743424	162	15	322753	1.2174	0.11172	STPG1
ENSG00000001461	1	24742284	24799466	164	16	325671	0.56699	0.28536	NIPAL3
ENSG00000117602	1	24829387	24867530	87	12	319408	0.32899	0.37108	RCAN3
ENSG00000184454	1	24882602	24935819	227	29	321246	1.9141	0.027801	NCMAP
ENSG00000133226	1	24958207	24999758	46	11	313363	0.42625	0.33496	SRRM1
ENSG00000169504	1	25071848	25170815	94	19	309480	0.55833	0.28831	CLIC4
ENSG00000020633	1	25226002	25291612	118	25	322247	-0.52509	0.70024	RUNX3
ENSG00000117614	1	25549170	25558993	6	4	313779	-0.034677	0.51383	SYF2
ENSG00000117616	1	25568728	25664704	80	17	298545	0.26399	0.39589	C1orf63
ENSG00000187010	1	25598884	25656936	54	11	292998	0.15597	0.43803	RHD
ENSG00000183726	1	25664408	25688852	19	12	308869	-1.0109	0.84398	TMEM50A
ENSG00000188672	1	25688740	25756683	46	9	310730	-1.2837	0.90038	RHCE
ENSG00000204178	1	25757388	25826700	49	9	310780	-0.36318	0.64176	TMEM57
ENSG00000157978	1	25870071	25895377	45	8	321032	0.96234	0.16794	LDLRAP1
ENSG00000117643	1	25943959	26112698	207	34	319804	0.2261	0.41056	MAN1C1
ENSG00000162430	1	26126667	26144713	43	5	316718	0.088016	0.46493	SEPN1
